S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
158,Tomato juice,1 cup,240,50,2,t,0,0.6,10,Vegetables R-Z
159,Tomato catsup,1 T.,17,15,t,t,0,t,4,Vegetables R-Z
160,Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables R-Z
161,"Turnips, steamed",1 cup,155,40,1,t,0,1.8,9,Vegetables R-Z
162,"Watercress stems, raw",1 cup,50,9,1,t,0,0.3,1,Fruits A-F
163,Apple juice canned,1 cup,250,125,t,0,0,0,34,Fruits A-F
164,Apple vinegar,1/3 cup,100,14,t,0,0,0,3,Fruits A-F
165,"Apples, raw",1 med,130,70,t,t,0,1,18,Fruits A-F
166,Stewed or canned,1 cup,240,100,t,t,0,2,26,Fruits A-F
167,Apricots,1 cup,250,220,2,t,0,1,57,Fruits A-F
168,"Dried, uncooked",1/2 cup,75,220,4,t,0,1,50,Fruits A-F
169,Fresh,3 med.,114,55,1,t,0,0.7,14,Fruits A-F
170,"Nectar, or juice",1 cup,250,140,1,t,0,2,36,Fruits A-F
171,Avocado,1/2 large,108,185,2,18,12,1.8,6,Fruits A-F
172,Banana,1 med.,150,85,1,t,0,0.9,23,Fruits A-F
173,Blackberries,1 cup,144,85,2,1,0,6.6,19,Fruits A-F
174,Blueberries,1 cup,250,245,1,t,0,2,65,Fruits A-F
175,Cantaloupe,1/2 med.,380,40,1,t,0,2.2,9,Fruits A-F
176,Cherries,1 cup,257,100,2,1,0,2,26,Fruits A-F
177,"Fresh, raw",1 cup,114,65,1,t,0,0.8,15,Fruits A-F
178,Cranberry sauce sweetened,1 cup,277,530,t,t,0,1.2,142,Fruits A-F
179,Dates,1 cup,178,505,4,t,0,3.6,134,Fruits A-F
180,Figs,2,42,120,2,t,0,1.9,30,Fruits A-F
181,"Fresh, raw figs",3 med.,114,90,2,t,0,1,22,Fruits A-F
182,figs Canned with syrup ,3,115,130,1,t,0,1,32,Fruits A-F
183,"Fruit cocktail, canned",1 cup,256,195,1,t,0,0.5,50,Fruits A-F
184,Grapefruit sections,1 cup,250,170,1,t,0,0.5,44,Fruits G-P
185,"Grapefruit, fresh, 5"" diameter",2-Jan,285,50,1,t,t,1,14,Fruits G-P
186,Grapefruit juice,1 cup,250,100,1,t,0,1,24,Fruits G-P
187,Grapes,1 cup,153,70,1,t,0,0.8,16,Fruits G-P
188,"European, as Muscat, Tokay",1 cup,160,100,1,t,0,0.7,26,Fruits G-P
189,Grape juice,1 cup,250,160,1,t,0,t,42,Fruits G-P
190,Lemon juice,1/2 cup,125,30,t,t,0,t,10,Fruits G-P
191,Lemonade concentratefrozen,6-oz. can,220,430,t,t,0,t,112,Fruits G-P
